Hobbies,Categeory
Poker,Competitive
Slot car racing,Competitive
Speedcubing,Competitive
Sport stacking,Competitive
Table football,Competitive
Volleyball,Competitive
Weightlifting,Competitive
Airsoft,Competitive
American football,Competitive
Archery,Competitive
Association football,Competitive
Australian rules football,Competitive
Auto racing,Competitive
Baseball,Competitive
Beach volleyball,Competitive
Breakdancing,Competitive
Climbing,Competitive
Cricket,Competitive
Cycling,Competitive
Disc golf,Competitive
Dog sport,Competitive
Equestrianism,Competitive
Exhibition drill,Competitive
Field hockey,Competitive
Figure skating,Competitive
Fishing,Competitive
Footbag,Competitive
Golfing,Competitive
Handball,Competitive
Horseback riding,Competitive
Ice hockey,Competitive
Judo,Competitive
Jukskei,Competitive
Kart racing,Competitive
Knife throwing,Competitive
Lacrosse,Competitive
Marching band,Competitive
Model aircraft,Competitive
Racquetball,Competitive
Radio-controlled car racing,Competitive
Roller derby,Competitive
Rugby league football,Competitive
Sculling or rowing,Competitive
Shooting sport,Competitive
Skateboarding,Competitive
Speed skating,Competitive
Squash,Competitive
Surfing,Competitive
Swimming,Competitive
Table tennis,Competitive
Tennis,Competitive
Tour skating,Competitive
Triathlon,Competitive
Ultimate frisbee ,Competitive
Volleyball,Competitive
Water polo,Competitive
Fishkeeping,Observation
Learning,Observation
Microscopy,Observation
Reading,Observation
Shortwave listening,Observation
Videophilia,Observation
Aircraft spotting,Observation
Amateur astronomy,Observation
Astrology,Observation
Birdwatching,Observation
Bus spotting,Observation
Geocaching,Observation
Gongoozling,Observation
Herping,Observation
Hiking/backpacking,Observation
Meteorology,Observation
Photography,Observation
Satellite watching,Observation
Trainspotting,Observation
Traveling,Observation
Whale watching,Observation
Gambling,Fancy
Lottery,Fancy
Pickpocketing,Fancy
